2PA,2P%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,HGT,WGT,POS
9.5,.524,0.1,.176,4.9,.711,7.4,1.2,1.0,1.7,2.5,203,108,PF
7.3,.531,2.4,.359,3.9,.700,6.5,3.1,0.9,1.2,2.5,206,106,PF
11.4,.622,0.1,.300,7.7,.589,11.8,2.1,1.1,1.0,2.8,208,113,PF
7.1,.409,3.9,.337,2.6,.772,8.3,4.2,1.0,0.4,2.3,201,86,SG
8.0,.570,3.9,.376,7.2,.755,5.4,3.7,1.9,0.4,3.0,196,98,SG
10.9,.506,2.5,.215,4.3,.676,8.6,1.5,1.6,1.4,2.5,203,94,SF
7.8,.600,0.4,0,3.6,.533,6.9,0.9,0.8,1.1,1.3,203,106,C
5.0,.522,5.2,.375,4.8,.778,4.1,3.1,1.7,0.4,1.8,190,83,PG
5.7,.503,5.6,.376,3.5,.788,3.3,2.0,1.6,0.3,1.6,193,95,SG
1.2,.556,1.6,.375,0.3,.000,1.6,0.3,0.2,0.0,0.4,198,89,SG
9.6,.497,2.2,.303,5.0,.753,7.3,1.3,0.7,0.9,1.8,203,102,PF
5.3,.474,4.6,.335,3.5,.787,2.8,1.6,1.1,0.2,1.3,198,96,SG
5.2,.374,2.4,.367,4.6,.777,2.7,3.8,0.8,0.2,2.2,198,95,PG
7.5,.479,1.2,.216,4.9,.645,4.5,3.5,1.8,0.4,2.3,193,82,PG
5.4,.592,3.6,.389,3.4,.720,5.6,1.8,1.1,0.3,1.3,196,92,SG
8.3,.586,0.0,0,5.9,.666,6.4,1.1,0.8,0.9,0,203,104,C
7.0,.478,2.0,0,5.5,.666,5.3,2.1,0.9,0.4,1.6,203,106,SF
4.6,.569,4.6,.369,4.9,.824,7.4,1.8,1.3,0.9,2.0,203,93,SF
2.8,.541,2.3,.353,2.1,0,2.8,1.0,0.6,0.2,1.2,193,95,SG
4.8,.531,1.9,.333,1.7,.703,3.9,0.6,0.7,0.3,1.5,198,103,SF
8.5,.505,0.2,0,3.2,.484,8.1,1.0,0.6,2.5,1.5,211,99,C
4.8,.575,0.0,0,2.5,.725,3.6,0.7,0.3,0.5,1.1,203,104,PF
6.5,.508,6.8,.390,3.4,.836,5.0,1.9,1.3,0.3,2.2,193,94,SG
8.3,.565,2.3,.404,6.1,.785,5.8,3.3,1.6,0.3,2.5,188,81,PG
5.1,.528,2.2,.375,3.3,.745,5.6,2.2,0.9,0.4,2.1,201,99,SF
4.2,.507,4.3,.367,3.2,.748,3.0,1.9,1.3,0.4,1.6,198,97,SG
4.6,.528,2.5,.307,1.8,.726,3.8,3.7,1.6,0.5,2.1,190,81,SG
3.3,.485,1.4,.343,1.0,.736,3.6,1.5,0.8,0.5,1.0,198,81,SG
7.4,.493,5.6,.355,4.9,.807,5.6,1.2,1.6,0.3,1.9,196,92,SF
6.4,.520,0.5,.205,4.7,.697,6.3,1.5,0.9,0.9,1.4,201,97,SF
6.8,.580,0.9,.353,3.8,.697,6.9,0.7,0.8,2.6,1.5,203,111,C
6.0,.499,4.4,.396,2.6,.773,4.3,2.1,0.6,0.3,1.3,203,97,SG
6.3,.502,4.1,.354,3.0,.671,3.1,1.3,0.8,0.2,2.1,201,90,SG
6.6,.589,0.0,0,4.1,.619,7.9,1.7,0.9,1.7,1.6,208,111,C
6.0,.481,5.0,.338,4.7,.699,4.7,2.0,0.7,0.4,1.9,201,88,SG
4.9,.492,1.5,.319,2.1,.610,6.2,0.8,0.5,1.4,0.9,201,104,PF
6.1,.505,7.2,.354,5.3,.853,4.8,2.4,1.9,0.9,1.7,198,86,SG
8.9,.544,0.2,.333,6.1,.604,7.9,1.5,1.0,0.9,2.4,203,92,PF
5.9,.473,1.9,.274,3.3,.738,6.6,3.4,1.5,0.5,2.1,198,93,SF
6.2,.401,5.8,.385,2.9,.787,4.5,1.7,1.0,0.1,1.8,190,86,SG
8.0,.464,5.4,.410,4.7,.682,6.8,2.0,1.1,1.4,2.0,206,86,SF
5.9,.569,3.5,.462,6.5,.901,3.4,4.3,1.5,0.5,2.5,188,81,PG
5.2,.593,2.8,.348,3.7,.780,7.8,1.2,1.2,1.5,1.5,208,95,PF
5.8,.488,1.1,.338,3.8,.688,4.7,2.8,0.9,0.4,2.1,201,92,SF
5.9,.530,2.6,.359,4.5,.796,4.5,5.4,1.8,0.1,3.3,190,91,PG
5.8,.599,2.5,.342,3.0,.772,4.5,4.2,1.4,0.1,2.3,193,83,PG
5.6,.447,4.8,.348,4.0,.837,2.8,3.3,1.1,0.1,3.4,178,77,PG
7.0,.518,0.0,0,2.3,.615,4.6,0.6,0.4,0.4,1.8,203,120,SF
0,0,0,0,0,0,0,0,0,0,0,180,78,SF
